name,state_abbr,degree_type,cash_monitoring,pred_degree_type,highest_degree,type_school,ST_FIPS,REGION,LOCALE,hbcu,pbi,annhi,tribal,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate
Mesivta Torah Vodaath Rabbinical Seminary,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,1,0,0.72,NULL,0,10432,1539,2871,3045,0.8125,0.6484,0.3111,23.39344262,0.407407407,13085,10.06000042,60.29999924,47526.09,20.32999992,4.150000095
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY,2,0,2,3,2,36,2,11,0,0,0,0,0,0,0,1,0,0.722222222,NULL,0,5333,7750,6406,4079,NULL,0.5581,0.6667,19.625,PrivacySuppressed,30513.5,10.65999985,75.66999817,54234.67,14.85000038,3.470000029
Mesivtha Tifereth Jerusalem of America,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,1,0,0.64,NULL,0,7000,17465,40320,2266,NULL,0.4091,0.0953,19.5,PrivacySuppressed,42358,9.789999962,71.19999695,61205.5,12.53999996,4.300000191
Midway Paris Beauty School,NY,1,0,1,1,3,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,21941,9700,1702,NULL,NULL,0.4123,0.5958,27.37391304,0.611764706,12560,5.599999905,59.52000046,47489.8,20.72999954,6.449999809
Mildred Elley School-Albany Campus,NY,2,0,1,2,3,36,2,13,0,0,0,0,0,0,0,0,0,NULL,NULL,0,19885,10880,4851,5008,NULL,0.7811,0.3209,31.63850813,0.563069544,14910,10.15999985,94.02999878,52801.23,10.30000019,4.010000229
Mirrer Yeshiva Cent Institute,NY,3,0,2,4,2,36,2,11,0,0,0,0,0,0,0,1,0,0.8,NULL,0,6122,8520,5258,3145,1,0.3897,0.102,18.30769231,PrivacySuppressed,26399,9.579999924,57.40999985,44362.72,21.09000015,4.210000038
Modern Welding School,NY,1,0,1,1,3,36,2,13,0,0,0,0,0,0,0,0,0,NULL,NULL,0,19920,19175,4043,NULL,NULL,0.3894,0.9514,25.73026316,0.326086957,30834,10.38000011,94.30000305,57647.35,8.020000458,3.470000029
Mohawk Valley Community College,NY,2,0,2,2,1,36,2,13,0,0,0,0,0,0,0,0,0,NULL,NULL,0,6262,2976,3845,6379,0.4906,0.3344,0.3318,22.9194284,0.425359381,24882,7.170000076,92.29000092,48518.11,11.32999992,3.920000076
Molloy College,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.793265466,1235,0,22676,22503,11475,10871,0.2884,0.2766,0.714,22.10399493,0.352982456,60092,11.52999973,77.31999969,87964.15,5.429999828,2.960000038
Monroe College,NY,2,0,3,4,3,36,2,11,0,0,0,0,0,0,0,0,0,0.391417425,NULL,0,12277,14925,5941,5859,0.3541,0.353,0.5913,23.70468187,0.490685296,19090,6.320000172,60.79999924,41127.37,27.11000061,7.429999828
Monroe Community College,NY,2,0,2,2,1,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,4694,3497,7244,6683,0.4578,0.4662,0.2231,23.18494293,0.391560658,25288,9.43999958,91.41999817,58278.89,10.68999958,4.28000021
Mount Saint Mary College,NY,3,0,3,4,2,36,2,13,0,0,0,0,0,0,0,0,0,0.914511494,1087,0,14529,16495,8984,8930,0.3713,0.2841,0.6149,21.87408088,0.371513944,63908.5,10.88000011,86.05000305,74923.28,7.090000153,3.420000076
Montefiore School of Nursing,NY,2,0,2,2,2,36,2,21,0,0,0,0,0,0,0,0,0,0.153061224,NULL,0,33204,15985,10896,9648,NULL,0.3525,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Mount Saint Vincent,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,1,0,0,0,0.821090909,1102,0,20279,15041,7512,10039,0.2329,0.469,0.6026,21.17770035,0.410183876,34712,10.59000015,68.72000122,63240.6,14.72000027,4.909999847
Icahn School of Medicine at Mount Sinai,NY,3,0,4,4,2,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,32435,23522,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,18.30999947,73.41999817,79639.29,9.770000458,3.75
Nassau Community College,NY,2,0,2,2,1,36,2,21,0,0,0,0,0,1,0,0,0,NULL,NULL,0,2806,4877,9989,11231,0.4487,0.3726,0.2215,22.36545563,0.449065071,29167,11.06000042,74.72000122,85334.22,6.389999866,3.220000029
Nazareth College,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.856296296,NULL,0,22646,21919,12089,8383,0.4055,0.2543,0.7206,20.95508475,0.182060391,78894.5,11.36999989,93.23000336,64638.98,6.639999866,3.450000048
