"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"372","Delta State University","Mississippi","MS","Public",2,7722,7246,14968,7246,14968,3614,8,40800,74200,63,5,"Delta State University","3",0,"3",4,1,28,"5","33","0","0","0",1,"0","0","0","0","0",0.997780244,1020,1,13044,7296,8509,6917,0.6883,0.3981,0.4118,22.43422053,0.322715842,25245,5.789999962,0.322715842,39124.62,21.95999908,5.909999847,2244,4,24,1325,45,5,2036,23,41,111,1426
"373","University of New Haven","Connecticut","CT","Private",2,15900,39270,55170,39270,55170,6811,11,52100,94800,52,25,"University of New Haven","3",0,"3",4,2,9,"1","21","0","0","0",1,"0","0","0","0","0",0.941296729,1200,1,27615,19270,10728,10779,0.3447,0.2829,0.6539,20.31018321,0.285648785,75313,11.67000008,0.285648785,77310.15,5.480000019,3.109999895,3337,22,169,602,578,12,3719,92,526,1091,1475
"374","Lindenwood University","Missouri","MO","Private",2,9000,17600,26600,17600,26600,12151,21,45100,78500,48,9,"Lindenwood University","3",0,"3",4,2,29,"4","13","0","0","0",1,"0","0","0","0","0",0.748435171,1138,1,14422,12235,6403,8885,1,0.3105,0.5,24.81453423,0.350877193,45382.5,8.029999733,0.350877193,68730.21,6.159999847,3.200000048,7131,46,58,2019,374,21,6830,307,1305,1191,2825
"375","Bellevue University","Nebraska","NE","Private",2,8730,9390,18120,9390,18120,9879,10,49400,84800,57,23,"Bellevue University","3",0,"3",4,2,31,"4","21","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,15397,12099,2807,6067,0.129,0.1873,0.227,31.50660939,0.449388209,33599,8.270000458,0.449388209,63424.91,6.369999886,2.690000057,5254,49,214,1168,676,30,5640,211,1601,290,2348
"376","Wentworth Institute of Technology","Massachusetts","MA","Private",2,14190,33950,48140,33950,48140,4558,15,62700,112700,53,39,"Wentworth Institute of Technology","3",0,"3",4,2,25,"1","11","0","0","0",1,"0","0","0","0","0",0.895423635,1241,1,25832,15854,9999,9603,1,0.2329,0.7034,20.65103858,0.24718398,82446,12.27999973,0.24718398,76699.8,5.420000076,2.799999952,886,10,285,212,155,0,2792,247,583,274,909
"377","University of California: Los Angeles","California","CA","Public",2,15816,13774,29590,42766,58582,3696,15,62000,116100,48,31,"University of California-Los Angeles","3",0,"3",4,1,6,"8","11","0","0","0",1,"0","0","0","0","0",0.107736094,1180,1,7180,18698,60528,19498,0.7182,0.2842,0.9171,21.08359271,0.380891393,32613.5,11.13000011,0.380891393,72896.84,10.07999992,4.070000172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","University of Alabama","Alabama","AL","Public",2,10102,10780,20882,29230,39332,3696,3,52300,97400,50,15,"The University of Alabama","3",0,"3",4,1,1,"5","13","0","0","0",1,"0","0","0","0","0",0.789043163,1244,1,18883,13731,8912,10509,0.7753,0.1712,0.7219,21.1377014,0.225712689,66733.5,9.210000038,0.225712689,57928.41,10.05000019,3.25999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Saginaw Valley State University","Michigan","MI","Public",2,10186,10308,20494,24215,34401,9829,25,46400,82200,54,12,"Saginaw Valley State University","3",0,"3",4,1,26,"3","22","0","0","0",1,"0","0","0","0","0",0.778097983,1069,1,11405,9144,7945,8302,0.4645,0.3192,0.4512,21.6174812,0.328671329,52670.5,5.789999962,0.328671329,57827.75,7.730000019,3.890000105,5804,32,72,950,336,4,7035,162,606,632,1556
"380","Holy Cross College","Indiana","IN","Private",2,11500,30820,42320,30820,42320,520,15,48100,87800,52,0,"Holy Cross College","3",0,"3",3,2,18,"3","21","0","0","0",1,"0","0","0","0","0",0.85942492,1294,1,12780,15079,5500,5822,0.4366,0.2923,0.6205,21.06907895,0.288194444,63590.5,11.02999973,0.288194444,72725.39,5.679999828,2.890000105,180,2,8,49,56,1,351,18,5,30,134
"381","Carson-Newman University","Tennessee","TN","Private",2,8810,27900,36710,27900,36710,2362,23,42700,76500,61,5,"Carson-Newman University","3",0,"3",4,2,47,"5","23","0","0","0",1,"0","0","0","0","0",0.788689468,1112,1,15141,10438,5070,6175,0.5401,0.4338,0.5432,20.58781726,0.346609257,47177,6.659999847,0.346609257,53143.24,9.649999619,3.230000019,1406,3,13,153,34,0,1714,0,333,112,203
