"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","region","locale","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"1","Furman University","South Carolina","SC","Private",2,12712,49532,62244,49532,62244,2973,3,52100,98800,48,16,"Furman University","3",0,"3",4,2,45,"5","21","0","0","0",1,"0","0","0","0","0",0.713548927,1375,1,13911,22362,19837,9830,0.859,0.1105,0.8138,20.02066773,0.123778502,83896,11.89000034,0.123778502,71867.28,6.28000021,2.720000029,1725,3,53,158,113,0,2368,74,64,140,401
"2","Athens State University","Alabama","AL","Public",2,10480,6810,6810,12870,12870,3128,15,45000,78800,51,9,"Athens State University","3",0,"3",4,1,1,"5","31","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,14200.5,6761,7908,8834,0.4554,0.4036,0.6135,30.38476563,0.477496484,29645.5,6.170000076,0.477496484,50752.1,10.43999958,3.380000114,2046,48,17,396,63,3,2423,54,107,17,581
"3","University of Maine at Fort Kent","Maine","ME","Public",2,8220,8115,16335,12315,20535,1327,11,43500,76300,73,5,"University of Maine at Fort Kent","3",0,"3",3,1,23,"1","43","0","0","0",1,"0","0","0","0","0",0.99875,1180,1,7554,6099,7165,6895,0.359,0.1705,0.3943,25.78910369,0.429118774,36734,4.619999886,0.429118774,44056.6,9.039999962,3.309999943,911,10,6,34,19,2,840,25,279,112,96
"4","Cardinal Stritch University","Wisconsin","WI","Private",2,8440,29998,38438,29998,38438,3811,20,47000,82500,51,2,"Cardinal Stritch University","3",0,"3",4,2,55,"3","21","0","0","0",1,"0","0","0","0","0",0.889078498,1062,1,15575,15078,8756,6628,0.3448,0.2734,0.536,26.0034188,0.454901961,36000,7.980000019,0.454901961,64348.07,7.980000019,3.74000001,2453,18,76,842,293,8,2253,71,129,121,1308
"5","Oberlin College","Ohio","OH","Private",2,16338,55054,71392,55054,71392,2978,13,53100,96800,47,21,"Oberlin College","3",0,"3",4,2,39,"3","31","0","0","0",1,"0","0","0","0","0",0.343399075,1419,1,12835,23147,25911,8927,0.8924,0.091,0.8428,19.3584,0.088669951,111580,16.90999985,0.088669951,76190.1,6.400000095,3.190000057,1647,3,124,154,215,2,2071,168,23,218,666
"6","Indiana University-Purdue University Indianapolis","Indiana","IN","Public",2,8924,9465,18389,29821,38745,3696,14,50500,88200,55,15,"Indiana University-Purdue University-Indianapolis","3",0,"3",4,1,18,"3","11","0","0","0",1,"0","0","0","0","0",0.836119521,1152,1,5818,11966,18305,8700,0.5338,0.3466,0.5449,22.08519249,0.35086149,45002,8.56000042,0.35086149,64749.24,6.199999809,2.900000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","College of Idaho","Idaho","ID","Private",2,9697,30155,39852,30155,39852,1144,5,44700,82100,48,17,"The College of Idaho","3",0,"3",4,2,16,"7","22","0","0","0",1,"0","0","0","0","0",0.562933025,1181,1,26037,8361,7891,7147,0.5969,0.2373,0.6187,20.35457064,0.268072289,63773,7.130000114,0.268072289,57741.96,7.869999886,3.609999895,600,6,32,22,175,5,725,24,76,79,264
"8","SUNY University at Stony Brook","New York","NY","Public",2,13698,9625,23323,27295,40993,3696,24,59200,107800,49,35,"Stony Brook University","3",0,"3",4,1,36,"2","21","0","0","0",1,"0","0","0","0","0",0.480580024,1393,1,12193,9750,18659,12966,0.6194,0.3596,0.7697,21.16012187,0.361408882,36504.5,11.23999977,0.361408882,76205.23,9.020000458,3.559999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Ripon College","Wisconsin","WI","Private",2,8400,43808,52208,43808,52208,840,10,46300,89600,60,26,"Ripon College","3",0,"3",3,2,55,"3","32","0","0","0",1,"0","0","0","0","0",0.797666935,1153,1,12964,13178,11051,7584,0.9677,0.3676,0.6464,19.53562005,0.280802292,75858,7.21999979,0.280802292,66802.94,4.559999943,2.869999886,448,2,12,19,40,0,703,15,19,30,88
"10","University of Louisiana at Lafayette","Louisiana","LA","Public",2,8516,10616,19132,24344,32860,17195,5,48200,92500,52,19,"University of Louisiana at Lafayette","3",0,"3",4,1,22,"5","12","0","0","0",1,"0","0","0","0","0",0.783456624,1105,1,10428,10080,8676,8363,0.7553,0.3379,0.5063,21.93316413,0.384858044,41647.5,5.940000057,0.384858044,47090.8,15.47999954,4.340000153,9601,80,373,3377,547,15,11666,277,187,673,4669
"11","Monmouth University","New Jersey","NJ","Private",2,13981,38138,52119,38138,52119,6395,18,52200,93200,44,13,"Monmouth University","3",0,"3",4,2,34,"2","21","0","0","0",1,"0","0","0","0","0",0.835404483,1161,1,16451,23881,12195,9667,1,0.3066,0.7175,20.03964961,0.323076923,73885,11.27999973,0.323076923,87615.47,4.190000057,2.960000038,4073,8,215,351,585,7,4703,127,266,133,1293
"12","Reed College","Oregon","OR","Private",2,14210,56340,70550,56340,70550,1394,3,56100,104900,44,26,"Reed College","3",0,"3",4,2,41,"8","11","0","0","0",1,"0","0","0","0","0",0.438088445,1180,1,12553,36939,27013,10099,0.9897,0.1127,0.7441,19.42663044,0.296914538213626,93231,15.35999966,0.296914538213626,71777.6,7.170000076,3.480000019,745,4,80,26,146,3,813,113,94,115,372
"13","Union College","Kentucky","KY","Private",2,7600,27140,34740,27140,34740,3696,15,40400,76000,37,4,"Union College","3",0,"3",4,2,21,"5","33","0","0","0",1,"0","0","0","0","0",0.564315353,1017,1,13630,10309,4681,4721,1,0.5565,0.3215,21.56060606,0.407272727,36523,5.5,0.407272727,38949.24,19.19000053,3.630000114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","University of Arkansas at Fort Smith","Arkansas","AR","Public",2,8416,7128,15544,15969,24385,6830,16,40700,71100,55,9,"University of Arkansas-Fort Smith","3",0,"3",4,1,5,"5","13","0","0","0",1,"0","0","0","0","0",0.760658545,1180,1,7808,3065,7558,7009,0.7267,0.4137,0.288,22.9306017,0.484022156,29173,4.760000229,0.484022156,45327.2,11.35000038,3.24000001,3848,186,299,300,661,4,4907,359,10,104,1809
"15","New Mexico Highlands University","New Mexico","NM","Public",2,7872,6150,14022,10302,18174,3546,6,40400,73800,63,4,"New Mexico Highlands University","3",0,"3",4,1,35,"6","33","0","0","0",1,"0","1","0","0","0",0.760658545,1180,1,11724,7064,10714,6302,0.958,0.5682,0.2758,27.06672158,0.453531599,24029,8.06000042,0.453531599,44721.61,17.18000031,4.860000134,2268,233,29,163,1891,18,843,43,127,199,2377
"16","Frostburg State University","Maryland","MD","Public",2,10202,9172,19374,22892,33094,5645,21,49600,87000,48,19,"Frostburg State University","3",0,"3",4,1,24,"2","23","0","0","0",1,"0","0","0","0","0",0.860508514,1089,1,11070,6396,9191,7564,0.7098,0.3455,0.5021,21.74095578,0.359980383,49589,10.43999958,0.359980383,70221.41,6.360000134,3.200000048,2959,6,99,1466,244,5,3362,223,117,123,2043
"17","Southern Wesleyan University","South Carolina","SC","Private",2,9030,25476,34506,25476,34506,1778,20,42900,74600,52,5,"Southern Wesleyan University","3",0,"3",4,2,45,"5","21","0","0","0",1,"0","0","0","0","0",0.566088117,1079,1,16335,12594,6097,5105,1,0.435,0.5317,26.28016086,0.391495601,37260,7.239999771,0.391495601,54696.17,9.300000191,3.329999924,1134,5,10,483,56,1,914,26,254,29,581
"18","Bluefield State College","West Virginia","WV","Public",2,10480,8820,8820,16920,16920,1563,15,43200,72800,60,3,"Bluefield State University","3",0,"3",3,1,54,"5","32","1","0","0",1,"0","0","0","0","0",0.968596663,1020,1,8963,4784,6698,6561,0.5806,0.4755,0.3207,24.33858268,0.492492493,26625,4.739999771,0.492492493,36594.82,16.11000061,4.300000191,968,4,3,156,17,0,1319,17,13,34,197
"19","Western Washington University","Washington","WA","Public",2,11466,8132,19598,23544,35010,15060,9,55000,99300,45,16,"Western Washington University","3",0,"3",4,1,53,"8","13","0","0","0",1,"0","0","0","0","0",0.960964083,1206,1,4323,7758,11628,10753,0.6891,0.2219,0.6762,21.65187788,0.266853933,51312,9.680000305,0.266853933,66707.46,6.550000191,3.930000067,8368,65,971,224,1095,28,11200,1164,156,157,3547
"20","Salve Regina University","Rhode Island","RI","Private",2,14500,40550,55050,40550,55050,2739,6,53000,93900,50,6,"Salve Regina University","3",0,"3",4,2,44,"1","21","0","0","0",1,"0","0","0","0","0",0.734326019,1180,1,27419,19363,8855,8906,0.9528,0.1995,0.7464,19.73041709,0.185850053,96000,13.02000046,0.185850053,81126.67,4.599999905,2.710000038,1870,12,34,67,163,2,2078,47,284,52,325
"21","Southern Utah University","Utah","UT","Public",2,7090,6769,13859,20585,27675,3696,8,46400,84400,65,7,"Southern Utah University","3",0,"3",4,1,49,"7","33","0","0","0",1,"0","0","0","0","0",0.88726829,1149,1,8567,7323,6611,7545,0.7293,0.2682,0.5051,22.34448669,0.320898516,41064,7.199999809,0.320898516,55546.63,9.119999886,3.420000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Central Connecticut State University","Connecticut","CT","Public",2,12176,10616,22792,21856,34032,12037,12,53100,93700,45,15,"Central Connecticut State University","3",0,"3",4,1,9,"1","21","0","0","0",1,"0","0","0","0","0",0.748289578,1067,1,10456,11783,14841,9790,0.4973,0.3649,0.534,22.070154,0.387482993,48269,11.31999969,0.387482993,75579.11,5.550000191,3.24000001,6035,23,429,1225,1359,11,8159,290,338,203,3337
"23","Washburn University","Kansas","KS","Public",2,8237,8870,17107,19940,28177,6722,12,47000,83000,54,4,"Washburn University","1",0,"3",4,1,20,"4","12","0","0","0",1,"0","0","0","0","0",0.438356164,1180,1,11465,6398,8979,7653,0.6356,0.2901,0.5129,24.21828154,0.378103378,36446,8.5,0.378103378,57541.98,6.650000095,2.619999886,3957,39,76,327,465,6,4207,220,1138,244,1133
"24","University of Maryland: College Park","Maryland","MD","Public",2,12429,10595,23024,35216,47645,3696,4,61300,113400,50,33,"University of Maryland-College Park","3",0,"3",4,1,24,"2","21","0","0","0",1,"0","0","0","0","0",0.520275791,1426,1,8237,14217,16273,14030,0.8038,0.1765,0.8733,20.78256718,0.224270576,67353,17.31999969,0.224270576,90010.73,4.429999828,2.730000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Hampden-Sydney College","Virginia","VA","Private",2,13558,45746,59304,45746,59304,1105,6,58300,108600,52,20,"Hampden-Sydney College","3",0,"3",3,2,51,"5","42","0","0","0",1,"0","0","0","1","0",0.368077055,1170,1,17958,17284,16701,8254,0.9151,0.1782,0.6823,19.51020408,0.296914538213626,101025.5,11.60000038,0.296914538213626,68823.49,6.25,2.559999943,2,5,20,85,23,0,902,60,9,1,193
"26","Western Connecticut State University","Connecticut","CT","Public",2,13072,10819,23891,22059,35131,5952,15,51700,88100,50,6,"Western Connecticut State University","3",0,"3",4,1,9,"1","13","0","0","0",1,"0","1","0","0","0",0.848549488,1180,1,13661,11565,16547,9872,1,0.3261,0.5198,21.58144901,0.379805228,49923,12.47999954,0.379805228,85742.06,4.409999847,2.75999999,3237,13,200,668,900,10,3929,67,153,12,1858
"27","Southern Connecticut State University","Connecticut","CT","Public",2,12860,10875,23735,22115,34975,10825,20,48500,83600,51,6,"Southern Connecticut State University","3",0,"3",4,1,9,"1","12","0","0","0",1,"0","0","0","0","0",0.829311763,1180,1,15822,11066,13964,9606,0.4819,0.4163,0.5169,21.45068565,0.390459364,48142,11.94999981,0.390459364,74581.97,6.190000057,3.480000019,6891,19,271,1539,1114,2,6662,230,935,53,3175
"28","Rocky Mountain College","Montana","MT","Private",2,8330,28512,36842,28512,36842,1007,5,46000,82900,59,12,"Rocky Mountain College","3",0,"3",4,2,30,"7","12","0","0","0",1,"0","0","0","0","0",0.806590258,1097,1,15528,17586,10510,6690,0.8605,0.3325,0.5279,21.02443992,0.315334773,62012,6.579999924,0.315334773,51454.11,10.97999954,4.039999962,487,21,10,32,18,5,784,67,23,47,153
"29","University of Richmond","Virginia","VA","Private",2,12250,52610,64860,52610,64860,4182,7,59800,107500,48,13,"University of Richmond","3",0,"3",4,2,51,"5","12","0","0","0",1,"0","0","0","0","0",0.287710498,1180,1,13085,29473,23001,12349,0.6317,0.1763,0.8858,20.75151515,0.122629583,73024,14.98999977,0.122629583,83716.34,4.789999962,2.539999962,2269,13,215,345,258,2,2560,137,283,369,970
"30","Bryant University","Rhode Island","RI","Private",2,15702,43973,59675,43973,59675,3462,2,60500,108600,37,8,"Bryant University","3",0,"3",4,2,44,"1","21","0","0","0",1,"0","0","0","0","0",0.73614889,1222,1,35914,27448,11485,14195,0.5719,0.1064,0.8302,19.63412564,0.160667252,110617,12.22000027,0.160667252,80219.8,4.679999828,2.680000067,1436,12,141,145,216,5,2517,44,103,279,563
"31","Smith College","Massachusetts","MA","Private",2,17520,52404,69924,52404,69924,2989,24,52700,98200,51,26,"Smith College","3",0,"3",4,2,25,"1","21","0","0","0",1,"0","0","0","0","1",0.29914248,1456,1,14604,24743,25640,12226,0.8059,0.2194,0.8874,20.5224647,0.185082873,70695,15.26000023,0.185082873,74581.14,7.099999905,3.319999933,2927,5,348,149,276,2,1447,128,246,388,908
"32","North Central College","Illinois","IL","Private",2,11019,38880,49899,38880,49899,3043,19,50400,92900,45,9,"North Central College","3",0,"3",4,2,17,"3","12","0","0","0",1,"0","0","0","0","0",0.684025489,1156,1,20268,16961,10017,8591,0.5357,0.2525,0.6545,20.47348485,0.265966047,77267,11.39000034,0.265966047,86906.76,3.579999924,2.680000067,1676,3,66,118,276,2,2226,79,217,56,544
"33","University of Pittsburgh","Pennsylvania","PA","Public",2,11050,19080,30130,32052,43102,3696,19,55900,100400,50,27,"University of Pittsburgh-Pittsburgh Campus","3",0,"3",4,1,42,"2","11","0","0","0",1,"0","0","0","0","0",0.683072725,1328,1,17030,18681,19663,10969,0.7524,0.1317,0.8392,20.4141339,0.209672003,81308,9.069999695,0.209672003,58452.18,6.889999866,3.279999971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Shorter University","Georgia","GA","Private",2,9400,22370,31770,22370,31770,1566,22,45600,79900,55,6,"Shorter University","3",0,"3",4,2,13,"5","13","0","0","0",1,"0","0","0","0","0",0.812010444,1072,1,16816,9474,4851,4814,0.6129,0.4089,0.4022,26.01857283,0.353846154,34625,6.889999866,0.353846154,65365.08,7.659999847,3.279999971,918,8,13,356,53,2,978,28,68,60,460
"35","Concord University","West Virginia","WV","Public",2,8988,7896,16884,17320,26308,3696,13,41700,75800,53,9,"Concord University","3",0,"3",4,1,54,"5","32","0","0","0",1,"0","0","0","0","0",0.956296722,1042,1,7447,3776,5333,6707,0.7231,0.4826,0.3986,21.98148148,0.476538061,33025,5.28000021,0.476538061,41360.98,15.02000046,4.380000114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Marian University","Wisconsin","WI","Private",2,7222,27400,34622,27400,34622,3696,8,46500,90800,52,2,"Marian University","3",0,"3",4,2,55,"3","13","0","0","0",1,"0","0","0","0","0",0.762711864,1050,1,17175,14135,5052,5890,0.8644,0.3396,0.523,23.18214717,0.389696169,57509,5.610000134,0.389696169,63695.21,4.53000021,2.859999895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Oregon State University","Oregon","OR","Public",2,12855,11166,24021,30141,42996,28886,5,56200,104800,53,34,"Oregon State University","3",0,"3",4,1,41,"8","13","0","0","0",1,"0","0","0","0","0",0.887745521,1231,1,13459,12585,11183,10714,0.7156,0.2281,0.6876,23.68423513,0.31369606,44450,10.06000042,0.31369606,60312.67,7.5,3.930000067,13420,172,1901,395,2101,98,18505,1653,859,3202,6320
"38","University of Maryland: Eastern Shore","Maryland","MD","Public",2,9864,8302,18166,18508,28372,3696,22,48300,86700,63,14,"University of Maryland Eastern Shore","3",0,"3",4,1,24,"2","31","1","0","0",1,"0","0","0","0","0",0.819016393,1180,1,8776,4547,16732,8890,0.7053,0.4698,0.3645,20.37283399,0.357506361,34148,9.729999542,0.357506361,66039.83,9.479999542,4.260000229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Thomas More College","Kentucky","KY","Private",2,7950,31120,39070,31120,39070,1655,2,50000,90900,56,8,"Thomas More University","3",0,"3",4,2,21,"5","21","0","0","0",1,"0","0","0","0","0",0.96432553,1180,1,15914,13558,5732,6687,0.4798,0.2807,0.453,23.22376009,0.368221942,59077,7.789999962,0.368221942,64733.74,6.46999979,2.630000114,839,2,12,109,23,1,1256,32,207,13,179
"40","New York University","New York","NY","Private",2,18156,51828,69984,51828,69984,49274,13,63100,117700,42,18,"New York University","3",0,"3",4,2,36,"2","11","0","0","0",1,"0","0","0","0","0",0.129610436,1507,1,23852,40112,33470,16088,0.9946,0.1838,0.8732,20.59637046,0.214884345,51965.5,15.44999981,0.214884345,82106.43,7.400000095,3.289999962,27153,94,7314,2374,4267,45,17326,1248,5111,11495,15342
"41","University of Tampa","Florida","FL","Private",2,10810,29208,40018,29208,40018,7683,9,49200,91500,48,8,"The University of Tampa","3",0,"3",4,2,12,"5","11","0","0","0",1,"0","0","0","0","0",0.535497204,1184,1,30367,20292,7338,9381,1,0.1875,0.613,20.27996255,0.25237627,75458,11,0.25237627,71934.52,6.199999809,2.970000029,4299,17,127,404,914,6,4435,191,666,923,1659
"42","Southern University and Agricultural and Mechanical College","Louisiana","LA","Public",2,9105,9123,18228,16472,25577,3696,16,48000,83100,65,17,"Southern University and A & M College","3",0,"3",4,1,22,"5","12","1","0","0",1,"0","0","0","0","0",0.588820021,943,1,16036,5372,5336,5658,0.9355,0.6248,0.3031,21.13894081,0.396600567,23466,6.409999847,0.396600567,45854.37,18.37000084,4.809999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Viterbo University","Wisconsin","WI","Private",2,9060,27970,37030,27970,37030,2804,22,46800,81900,62,3,"Viterbo University","3",0,"3",4,2,55,"3","13","0","0","0",1,"0","0","0","0","0",0.774570983,1148,1,12503,16173,7773,6562,0.4182,0.2454,0.6437,23.66252822,0.281622912,67276,6.730000019,0.281622912,56953.94,5.539999962,2.99000001,2045,9,40,46,61,1,2549,45,15,38,202
"44","St. John's College","Maryland","MD","Private",2,12602,53218,65820,53218,65820,3696,7,55900,101200,52,0,"St. John's College","3",0,"3",4,2,24,"2","21","0","0","0",1,"0","0","0","0","0",0.531540848,1376,1,16163,15599,14929,6573,0.8676,0.2559,0.7018,20.54658385,0.296914538213626,80000,14.36999989,0.296914538213626,72041.37,6.510000229,3.200000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Black Hills State University","South Dakota","SD","Public",2,6978,8733,15711,11778,18756,4489,10,40400,72600,51,11,"Black Hills State University","3",0,"3",4,1,46,"4","32","0","0","0",1,"0","0","0","0","0",0.972503618,1065,1,12664,6535,6211,7283,0.5764,0.2218,0.4092,22.82917466,0.283967391,51046,6.190000057,0.283967391,49477.45,9.329999924,3.559999943,2916,154,22,41,166,10,3697,143,183,73,536
"46","Wichita State University","Kansas","KS","Public",2,11252,8271,19523,17452,28704,14995,7,48700,87300,57,24,"Wichita State University","3",0,"3",4,1,20,"4","11","0","0","0",1,"0","0","0","0","0",0.910574681,1132,1,11202,9042,8949,8202,0.6358,0.309,0.4807,23.59587814,0.363389328,43391,7.860000134,0.363389328,60078.99,6.900000095,3.089999914,7752,118,940,829,1289,14,9034,435,573,1763,3625
"47","Rose-Hulman Institute of Technology","Indiana","IN","Private",2,14766,49871,64637,49871,64637,2388,1,75000,135800,51,96,"Rose-Hulman Institute of Technology","3",0,"3",4,2,18,"3","13","0","0","0",1,"0","0","0","0","0",0.774029982,1385,1,28643,26959,20325,11162,0.9746,0.1242,0.8487,19.57673667,0.143801653,105358,9.170000076,0.143801653,67724.52,5.480000019,2.849999905,537,3,82,57,68,2,1720,90,77,289,302
"48","University of Detroit Mercy","Michigan","MI","Private",2,9496,28000,37496,28000,37496,4945,10,51800,92800,57,13,"University of Detroit Mercy","3",0,"3",4,2,26,"3","11","0","0","0",1,"0","0","0","0","0",0.932356257,1172,1,13650,25540,13579,9815,1,0.3008,0.6972,23.75544794,0.287119857,43983,7.630000114,0.287119857,64142.33,10.15999985,4.369999886,2951,17,242,504,133,11,2414,117,931,576,1024
"49","Roger Williams University","Rhode Island","RI","Private",2,15890,34522,50412,34522,50412,4884,8,52900,92700,48,12,"Roger Williams University","3",0,"3",4,2,44,"1","21","0","0","0",1,"0","0","0","0","0",0.90983707,1180,1,35229,20654,15533,12483,0.375,0.1601,0.6943,20.54638619,0.196590909,103564.5,13.77999973,0.196590909,84094.11,4.210000038,2.579999924,2470,42,107,117,238,3,3496,4,634,243,511
"50","Converse College","South Carolina","SC","Private",2,10930,18690,29620,18690,29620,1389,21,39000,71000,60,8,"Converse University","3",0,"3",4,2,45,"5","13","0","0","0",1,"0","0","0","0","1",0.819804505,1180,1,14623,10562,8803,6333,0.9556,0.4679,0.5575,21.03976143,0.317021277,48877,7.619999886,0.317021277,57113.24,8.329999924,3.289999962,1273,0,4,100,56,0,672,38,502,17,198
"51","Western Michigan University","Michigan","MI","Public",2,10143,12483,22626,15373,25516,23914,11,50900,92200,47,16,"Western Michigan University","3",0,"3",4,1,26,"3","13","0","0","0",1,"0","0","0","0","0",0.82809102,1122,1,13655,13423,10983,10234,0.6358,0.2715,0.5648,21.6681131,0.293124066,51033.5,9.609999657,0.293124066,69141.32,5.599999905,3.220000029,12214,106,388,2634,1117,28,16843,696,248,1854,4969
"52","Ohio Northern University","Ohio","OH","Private",2,11650,32260,43910,32260,43910,3695,6,54400,103900,49,22,"Ohio Northern University","3",0,"3",4,2,39,"3","31","0","0","0",1,"0","0","0","0","0",0.68895293,1203,1,19685,17540,13913,8908,0.7875,0.2258,0.7597,20.040625,0.235675676,79216,7.329999924,0.235675676,63536.16,5.739999771,2.690000057,1889,4,56,113,40,3,2875,105,267,232,321
"53","Freed-Hardeman University","Tennessee","TN","Private",2,8260,21950,30210,21950,30210,1867,20,43700,78200,54,9,"Freed-Hardeman University","3",0,"3",4,2,47,"5","32","0","0","0",1,"0","0","0","0","0",0.878814298,1180,1,13758,9322,7395,7093,0.9804,0.2334,0.6519,20.96779661,0.185046729,62772,5.940000057,0.185046729,53404.21,9.279999733,3.339999914,1091,4,10,230,38,0,1313,28,211,33,310
"54","Centre College","Kentucky","KY","Private",2,10480,41700,52180,41700,52180,1387,4,49500,88500,52,22,"Centre College","3",0,"3",3,2,21,"5","32","0","0","0",1,"0","0","0","0","0",0.679781847,1381,1,12858,16344,18047,8543,0.9735,0.198,0.8474,19.37621359,0.202564103,84855.5,11.19999981,0.202564103,64052.84,7.699999809,2.660000086,718,0,46,64,32,2,1109,42,6,86,186
"55","Westminster College","Missouri","MO","Private",2,10140,27600,37740,27600,37740,3696,8,49400,91600,52,25,"Westminster College","3",0,"3",3,2,29,"4","32","0","0","0",1,"0","0","0","0","0",0.966763848,1079,1,20642,11408,9600,6570,0.6901,0.3974,0.558,20.01666667,0.270029674,56071.5,8.670000076,0.270029674,62575.25,6.679999828,2.809999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","University of Pennsylvania","Pennsylvania","PA","Private",2,15616,55584,71200,55584,71200,24806,3,72800,133900,41,21,"University of Pennsylvania","3",0,"3",4,2,42,"2","11","0","0","0",1,"0","0","0","0","0",0.058652276,1523,1,-5704,43025,61594,19151,0.7818,0.138,0.9588,22.55322647,0.187635106,39832,15.93000031,0.187635106,78252,7.010000229,3.400000095,13067,21,3717,1483,1799,8,11248,777,1194,4559,7805
"57","Montana State University","Montana","MT","Public",2,10100,7421,17521,24849,34949,3696,2,53700,96200,54,31,"Montana State University","3",0,"3",4,1,30,"7","33","0","0","0",1,"0","0","0","0","0",0.730040013,1176,1,16325,11707,8484,8598,0.5917,0.2027,0.5712,21.45150021,0.233182893,56045,9.050000191,0.233182893,53207.14,8.579999924,3.789999962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Kentucky Wesleyan College","Kentucky","KY","Private",2,9764,26440,36204,26440,36204,709,14,42100,76800,65,14,"Kentucky Wesleyan College","3",0,"3",3,2,21,"5","13","0","0","0",1,"0","0","0","0","0",0.67229978,1095,1,26695,12972,5042,5621,0.5543,0.4273,0.414,20.66745283,0.378109453,47139.5,5.820000172,0.378109453,52095.32,10.05000019,3.460000038,326,1,3,102,12,0,483,0,103,5,118
"59","Massachusetts Maritime Academy","Massachusetts","MA","Public",2,12675,9724,22399,26102,38777,1497,8,67900,117500,53,47,"Massachusetts Maritime Academy","3",0,"3",4,1,25,"1","22","0","0","0",1,"0","0","0","0","0",0.900834106,1180,1,7157,12505,10425,8605,0.5793,0.1808,0.81,19.78732394,0.211062591,108367,11.53999996,0.211062591,77684.66,4.460000038,2.630000114,190,18,38,33,42,1,1321,10,27,7,142
"60","Metropolitan State University","Minnesota","MN","Public",2,10480,7879,7879,14980,14980,8355,20,50200,85900,53,11,"Metropolitan State University","3",0,"3",4,1,27,"4","11","0","0","0",1,"1","0","0","0","0",0.666153846,1180,1,16292,5244,5819,9893,0.3019,0.4235,0.4179,29.64498767,0.371321408,28315,9.550000191,0.371321408,69981.95,6.630000114,2.99000001,4709,56,1007,1499,397,9,4639,346,220,182,3314
"61","Oklahoma Panhandle State University","Oklahoma","OK","Public",2,4695,8194,12889,9133,13828,1298,20,42300,74400,54,10,"Oklahoma Panhandle State University","3",0,"3",3,1,40,"6","42","0","0","0",1,"0","1","0","0","0",0.760658545,1180,1,7118,5821,4611,4858,0.6118,0.4151,0.2661,22.73263889,0.412331407,40463,5.150000095,0.412331407,48652.56,10.81000042,3.150000095,714,43,17,135,211,0,796,34,40,22,440
"62","Xavier University","Ohio","OH","Private",2,12780,38530,51310,38530,51310,3696,16,51800,94000,46,7,"Xavier University","3",0,"3",4,2,39,"3","11","0","0","0",1,"0","0","0","0","0",0.840186854,1211,1,26952,19734,11873,8860,0.5112,0.1353,0.7187,20.64829721,0.160334836,93802,10.77999973,0.160334836,68472.8,6.46999979,2.869999886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","South Dakota State University","South Dakota","SD","Public",2,7896,8764,16660,12128,20024,12543,2,50500,91900,58,18,"South Dakota State University","3",0,"3",4,1,46,"4","33","0","0","0",1,"0","0","0","0","0",0.874263942,1119,1,14602,8708,8746,8860,0.7865,0.1846,0.592,20.88401537,0.201948206,73000,6.039999962,0.201948206,53049.11,7.090000153,2.480000019,6704,127,140,255,241,13,10780,229,58,700,1005
"64","Union College","Nebraska","NE","Private",2,7070,23780,30850,23780,30850,3696,7,49100,87800,55,9,"Union College","3",0,"3",4,2,31,"4","11","0","0","0",1,"0","0","0","0","0",0.984764543,1082,1,20395,14742,9304,6162,0.9524,0.3513,0.5549,21.16809117,0.245341615,47851,8.470000267,0.245341615,60804.76,6.590000153,2.940000057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
