"","name","state","state_code.x","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","REGION","LOCALE","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"28","Augsburg University","Minnesota","MN","Private","4 Year",10280,38800,49080,38800,49080,NA,12,50500,91000,52,11,"Augsburg University","3",0,3,4,2,27,"4","11","0","0","0","0","1","0","0","0","0",0.763687943,1074,"0","21317","14305","9677","8344","0.5168","0.5078","0.5861",22.59250586,0.289012004,41360,9.579999924,0.289012004,"72224.74","5.050000191","2.779999971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Augusta University","Georgia","GA","Public","4 Year",9640,10758,20398,29796,39436,7988,13,47000,84400,69,10,"Augusta University","3",0,3,4,1,13,"5","12","0","0","0","0","0","0","0","0","0",0.732818817,1195,"0","12930","11732","12980","8928","0.6692","0.372","0.4852",22.65570175,0.283190067,37793.5,8.770000458,0.283190067,"60039.81","10.03999996","3.670000076",4979,25,500,1687,398,22,4618,328,259,151,2960
"30","Augustana University","South Dakota","SD","Private","4 Year",8248,33018,41266,33018,41266,NA,3,47900,88400,54,18,"Augustana University","3",0,3,4,2,46,"4","12","0","0","0","0","0","0","0","0","0",0.718210013,1215,"0","22893","15473","12438","6810","0.6267","0.1727","0.7143",20.23606557,0.144827586,83402.5,6.75,0.144827586,"60196.68","5.679999828","2.279999971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Austin Peay State University","Tennessee","TN","Public","4 Year",10700,8411,19111,24467,35167,10111,20,44200,78200,63,10,"Austin Peay State University","3",0,3,4,1,47,"5","12","0","0","0","0","0","0","0","0","0",0.934296458,1085,"0","12439","6097","8701","8244","1","0.4677","0.4521",23.3785389,0.395009936,31930,5.519999981,0.395009936,"52472.51","8.930000305","3.529999971",6110,40,157,1902,575,19,6637,514,224,43,3207
"32","Avila University","Missouri","MO","Private","4 Year",7200,19900,27100,19900,27100,1907,17,45900,81200,68,3,"Avila University","3",0,3,4,2,29,"4","11","0","0","0","0","0","0","0","0","0",0.680038666,1050,"0","15525","12935","7972","6562","0.3467","0.4745","0.4532",23.66621067,0.36746988,38722,9.770000458,0.36746988,"67638.05","5.940000057","2.849999905",1245,14,31,359,125,5,1134,43,0,196,577
"33","Babson College","Massachusetts","MA","Private","4 Year",16312,51104,67416,51104,67416,3049,4,72000,133800,37,0,"Babson College","3",0,3,4,2,25,"1","21","0","0","0","0","0","0","0","0","0",0.253519144,1412,"0","17755","35329","14548","17413","1","0.1449","0.9417",19.44071146,0.148760331,91204,16.28000069,0.148760331,"82978.89","6.510000229","2.930000067",1305,4,274,119,244,2,1194,58,240,914,701
"34","Baker University","Kansas","KS","Private","4 Year",8410,29830,38240,29830,38240,2957,10,47800,84200,55,2,"Baker University","3",0,3,4,2,20,"4","31","0","0","0","0","0","0","0","0","0",0.990580848,1064,"0","19788","12980","6641","6603","0.2136","0.2794","0.6207",25.49371859,0.362892224,55117,10,0.362892224,"67758.92","5.420000076","2.50999999",1729,54,43,281,147,11,2194,39,164,24,575
"35","Ball State University","Indiana","IN","Public","4 Year",10234,9896,20130,26468,36702,20655,22,45600,83700,48,7,"Ball State University","3",0,3,4,1,18,"3","13","0","0","0","0","0","0","0","0","0",0.681657733,1124,"0","8598","8436","10275","7884","0.8141","0.3395","0.6736",20.6299529,0.277217595,61975,7.929999828,0.277217595,"62817.43","5.760000229","2.930000067",12538,26,215,1378,692,24,16267,411,849,793,2746
"36","Baptist College of Health Sciences","Tennessee","TN","Private","4 Year",2900,14700,17600,14700,17600,1170,5,55700,95700,90,4,"Baptist Health Sciences University","3",0,3,4,2,47,"5","11","0","1","0","0","0","0","0","0","0",0.349173554,1120,"0","3019","15305","10572","6856","1","0.5086","0.5115",26.65476191,0.428571429,25075.5,6.860000134,0.428571429,"61604.19","9.960000038","3.410000086",1067,0,22,497,23,0,604,3,21,0,545
"37","Barnard College","New York","NY","Private","4 Year",17225,55032,72257,55032,72257,2573,19,59200,109800,57,19,"Barnard College","3",0,3,3,2,36,"2","11","0","0","0","0","0","0","0","0","1",0.114670515,1484,"0","15480","41834","25557","14249","0.73","0.1509","0.9143",19.256,0.15565032,66094,16.55999947,0.15565032,"75897.42","8.739999771","3.660000086",2568,1,367,168,286,1,1409,133,16,192,956
